SEQ,Orig Filename,INST.1,INST.2,INST.#,INST.#.2,INST.3A,DESC,Dimension,Foto-ID,Farbskala
282,GZGHST0266NagelfluheFarbskala,GZG,HST,0266,,,Nagelfluhe,,,Farbskala
283,GZGHST0266NagelfluheFarbskala,GZG,HST,0266,,,Nagelfluhe,,,Farbskala
284,GZGHST0432CupritMalachit,GZG,HST,0432,,,CupritMalachit,,,
285,GZGHST0432CupritMalachitFarbskala,GZG,HST,0432,,,CupritMalachit,,,Farbskala
286,GZGHST0432CupritMalachitFarbskala,GZG,HST,0432,,,CupritMalachit,,,Farbskala
287,GZGHST0028Obsidian,GZG,HST,0028,,,Obsidian,,,
288,GZGHST0028ObsidianFarbskala,GZG,HST,0028,,,Obsidian,,,Farbskala
289,GZGHST0028ObsidianFarbskala,GZG,HST,0028,,,Obsidian,,,Farbskala
290,GZGHST0379Bergkristall,GZG,HST,0379,,,Bergkristall,,,
291,GZGHST0379BergkristallFarbskala,GZG,HST,0379,,,Bergkristall,,,Farbskala
292,GZGHST0379BergkristallFarbskala,GZG,HST,0379,,,Bergkristall,,,Farbskala
293,GZGHST0187Blatt,GZG,HST,0187,,,Blatt,,,
294,GZGHST0187BlattFarbskala,GZG,HST,0187,,,Blatt,,,Farbskala
295,GZGHST0187BlattFarbskala,GZG,HST,0187,,,Blatt,,,Farbskala
296,GZGHST0439Diceras005,GZG,HST,0439,,,Diceras,,005,
297,GZGHST0414Jaspis,GZG,HST,0414,,,Jaspis,,,
298,GZGHST0414JaspisFarbskala,GZG,HST,0414,,,Jaspis,,,Farbskala
299,GZGHST0414JaspisFarbskala,GZG,HST,0414,,,Jaspis,,,Farbskala
300,GZGHST0428Calcit,GZG,HST,0428,,,Calcit,,,
301,GZGHST0428CalcitFarbskala,GZG,HST,0428,,,Calcit,,,Farbskala
302,GZGHST0428CalcitFarbskala,GZG,HST,0428,,,Calcit,,,Farbskala
303,GZGHST0423Turmalin,GZG,HST,0423,,,Turmalin,,,
304,GZGHST0423TurmalinFarbskala,GZG,HST,0423,,,Turmalin,,,Farbskala
305,GZGHST0121Paraglauconiastrombiformis,GZG,HST,0121,,,Paraglauconiastrombiformis,,,
306,GZGHST0121ParaglauconiastrombiformisFarbskala,GZG,HST,0121,,,Paraglauconiastrombiformis,,,Farbskala
307,GZGHST0121ParaglauconiastrombiformisFarbskala,GZG,HST,0121,,,Paraglauconiastrombiformis,,,Farbskala
308,GZGHST0427Antimonit,GZG,HST,0427,,,Antimonit,,,
309,GZGHST0427AntimonitFarbskala,GZG,HST,0427,,,Antimonit,,,Farbskala
310,GZGHST0427AntimonitFarbskala,GZG,HST,0427,,,Antimonit,,,Farbskala
311,GZGHST0260PetroleumFarbskala,GZG,HST,0260,,,Petroleum,,,Farbskala
312,GZGHST0260Petroleum,GZG,HST,0260,,,Petroleum,,,
313,GZGHST0260PetroleumFarbskala,GZG,HST,0260,,,Petroleum,,,Farbskala
314,GZGHST0260PetroleumFarbskala,GZG,HST,0260,,,Petroleum,,,Farbskala
315,GZGHST04142D06,GZG,HST,0414,,,,2D,006,
316,GZGHST05092D03,GZG,HST,0509,,,,2D,003,
317,GZGHST041405092D06,GZG,HST,0414,0509,,,2D,006,
318,GZGHST041405092D06,GZG,HST,0414,0509,,,2D,006,
319,GZGHST05092D04,GZG,HST,0509,,,,2D,004,
320,GZGHST04172D05,GZG,HST,0417,,,,2D,005,
321,GZGHST04162D06,GZG,HST,0416,,,,2D,006,
322,GZGHST04162D06,GZG,HST,0416,,,,2D,006,
323,GZGHST04162D11,GZG,HST,0416,,,,2D,011,
324,GZGHST04162D04,GZG,HST,0416,,,,2D,004,
325,GZGHST04162D04,GZG,HST,0416,,,,2D,004,
326,GZGHST04162D08,GZG,HST,0416,,,,2D,008,
327,GZGHST00562D06,GZG,HST,0056,,,,2D,006,
328,GZGHST00562D07,GZG,HST,0056,,,,2D,007,
329,GZGHST00562D03,GZG,HST,0056,,,,2D,003,
330,GZGHST00562D05,GZG,HST,0056,,,,2D,005,
331,GZGHST00562D04,GZG,HST,0056,,,,2D,004,
332,GZGHST04172D07,GZG,HST,0417,,,,2D,007,
333,GZGHST04262D09,GZG,HST,0426,,,,2D,009,
334,GZGHST04262D05,GZG,HST,0426,,,,2D,005,
335,GZGHST04262D01,GZG,HST,0426,,,,2D,001,
336,GZGHST05022D10,GZG,HST,0502,,,,2D,010,
337,GZGHST05022D11,GZG,HST,0502,,,,2D,011,
338,GZGHST0045Kupfer,GZG,HST,0045,,,Kupfer,,,
339,GZGHST0045KupferFarbskala,GZG,HST,0045,,,Kupfer,,,Farbskala
340,GZGHST0045KupferFarbskala,GZG,HST,0045,,,Kupfer,,,Farbskala
341,GZGHST0418PrasemFarbskala,GZG,HST,0418,,,Prasem,,,Farbskala
